candidate_id,Nom du modèle,Poids réellement disponibles,Nombre de canaux du pré-entraînement,Canaux fixes ou variables,Noms/positions des électrodes utilisés,Fréquence de pré-entraînement,Durée des fenêtres,Prétraitement,Dataset de pré-entraînement,Peut recevoir mes 32 canaux ASC,Justification,Score de compatibilité,Confiance des métadonnées,URL,Licence,Chemin du checkpoint
47,braindecode/signal-jepa,oui,62,variables,"Fp1 (-0.029437; 0.083917; -0.006990), Fp2 (0.029872; 0.084896; -0.007080), F7 (-0.070263; 0.042474; -0.011420), F3 (-0.050244; 0.053111; 0.042192), Fz (0.000312; 0.058512; 0.066462), F4 (0.051836; 0.054305; 0.040814), F8 (0.073043; 0.044422; -0.012000), FC5 (-0.077215; 0.018643; 0.024460), FC1 (-0.034062; 0.026011; 0.079987), FC2 (0.034784; 0.026438; 0.078808), FC6 (0.079534; 0.019936; 0.024438), T7 (-0.084161; -0.016019; -0.009346), C3 (-0.065358; -0.011632; 0.064358), Cz (0.000401; -0.009167; 0.100244), C4 (0.067118; -0.010900; 0.063580), T8 (0.085080; -0.015020; -0.009490), TP9 (-0.085619; -0.046515; -0.045707), CP5 (-0.079592; -0.046551; 0.030949), CP1 (-0.035513; -0.047292; 0.091315), CP2 (0.038384; -0.047073; 0.090695), CP6 (0.083322; -0.046101; 0.031206), TP10 (0.086162; -0.047035; -0.045869), P7 (-0.072434; -0.073453; -0.002487), P3 (-0.053007; -0.078788; 0.055940), Pz (0.000325; -0.081115; 0.082615), P4 (0.055667; -0.078560; 0.056561), P8 (0.073056; -0.073068; -0.002540), PO9 (-0.054910; -0.098045; -0.035465), O1 (-0.029413; -0.112449; 0.008839), Oz (0.000108; -0.114892; 0.014657), O2 (0.029843; -0.112156; 0.008800), PO10 (0.054988; -0.098091; -0.035541), FC3 (-0.060182; 0.022716; 0.055544), FC4 (0.062293; 0.023723; 0.055630), C5 (-0.080280; -0.013760; 0.029160), C1 (-0.036158; -0.009984; 0.089752), C2 (0.037672; -0.009624; 0.088412), C6 (0.083456; -0.012776; 0.029208), CP3 (-0.063556; -0.047009; 0.065624), CPz (0.000386; -0.047318; 0.099432), CP4 (0.066612; -0.046637; 0.065580), P1 (-0.028620; -0.080525; 0.075436), P2 (0.031920; -0.080487; 0.076716), POz (0.000216; -0.102178; 0.050608), FT9 (-0.084076; 0.014567; -0.050429), FTT9h (-0.084125; -0.001847; -0.029794), TTP7h (-0.085565; -0.030629; 0.011153), TP7 (-0.084830; -0.046022; -0.007056), TPP9h (-0.078160; -0.060757; -0.023824), FT10 (0.084113; 0.014365; -0.050538), FTT10h (0.084123; -0.001808; -0.029638), TPP8h (0.078520; -0.060432; 0.012902), TP8 (0.085549; -0.045545; -0.007130), TPP10h (0.078903; -0.060955; -0.023805), F9 (-0.070102; 0.041652; -0.049952), F10 (0.072114; 0.042067; -0.050452), AF7 (-0.054840; 0.068572; -0.010590), AF3 (-0.033701; 0.076837; 0.021227), AF4 (0.035712; 0.077726; 0.021956), AF8 (0.055743; 0.069657; -0.010755), PO3 (-0.036511; -0.100853; 0.037167), PO4 (0.036782; -0.100849; 0.036397)",128.0,2.0,à vérifier,Lee2019,oui,Le modèle accepte un sous-ensemble variable de ses électrodes pré-entraînées et les 32 noms ASC figurent tous dans sa table.,80.0,forte,https://huggingface.co/braindecode/signal-jepa,mit,.
94,eeg-telecom-paris/eegpt-large-official,oui,58,fixes,"FP1, FPZ, FP2, AF3, AF4, F7, F5, F3, F1, FZ, F2, F4, F6, F8, FT7, FC5, FC3, FC1, FCZ, FC2, FC4, FC6, FT8, T7, C5, C3, C1, CZ, C2, C4, C6, T8, TP7, CP5, CP3, CP1, CPZ, CP2, CP4, CP6, TP8, P7, P5, P3, P1, PZ, P2, P4, P6, P8, PO7, PO3, POZ, PO4, PO8, O1, OZ, O2",256.0,4.0,à vérifier,à vérifier,à adapter,"Le checkpoint attend 58 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",56.5,moyenne,https://huggingface.co/eeg-telecom-paris/eegpt-large-official,,.
1,braindecode/eegpt-pretrained,oui,62,fixes,"FP1 (-0.029437; 0.083917; -0.006990), FPZ (0.000112; 0.088247; -0.001713), FP2 (0.029872; 0.084896; -0.007080), AF7 (-0.054840; 0.068572; -0.010590), AF3 (-0.033701; 0.076837; 0.021227), AF4 (0.035712; 0.077726; 0.021956), AF8 (0.055743; 0.069657; -0.010755), F7 (-0.070263; 0.042474; -0.011420), F5 (-0.064466; 0.048035; 0.016921), F3 (-0.050244; 0.053111; 0.042192), F1 (-0.027496; 0.056931; 0.060342), FZ (0.000312; 0.058512; 0.066462), F2 (0.029514; 0.057602; 0.059540), F4 (0.051836; 0.054305; 0.040814), F6 (0.067914; 0.049830; 0.016367), F8 (0.073043; 0.044422; -0.012000), FT7 (-0.080775; 0.014120; -0.011135), FC5 (-0.077215; 0.018643; 0.024460), FC3 (-0.060182; 0.022716; 0.055544), FC1 (-0.034062; 0.026011; 0.079987), FCZ (0.000376; 0.027390; 0.088668), FC2 (0.034784; 0.026438; 0.078808), FC4 (0.062293; 0.023723; 0.055630), FC6 (0.079534; 0.019936; 0.024438), FT8 (0.081815; 0.015417; -0.011330), T7 (-0.084161; -0.016019; -0.009346), C5 (-0.080280; -0.013760; 0.029160), C3 (-0.065358; -0.011632; 0.064358), C1 (-0.036158; -0.009984; 0.089752), CZ (0.000401; -0.009167; 0.100244), C2 (0.037672; -0.009624; 0.088412), C4 (0.067118; -0.010900; 0.063580), C6 (0.083456; -0.012776; 0.029208), T8 (0.085080; -0.015020; -0.009490), TP7 (-0.084830; -0.046022; -0.007056), CP5 (-0.079592; -0.046551; 0.030949), CP3 (-0.063556; -0.047009; 0.065624), CP1 (-0.035513; -0.047292; 0.091315), CPZ (0.000386; -0.047318; 0.099432), CP2 (0.038384; -0.047073; 0.090695), CP4 (0.066612; -0.046637; 0.065580), CP6 (0.083322; -0.046101; 0.031206), TP8 (0.085549; -0.045545; -0.007130), P7 (-0.072434; -0.073453; -0.002487), P5 (-0.067272; -0.076291; 0.028382), P3 (-0.053007; -0.078788; 0.055940), P1 (-0.028620; -0.080525; 0.075436), PZ (0.000325; -0.081115; 0.082615), P2 (0.031920; -0.080487; 0.076716), P4 (0.055667; -0.078560; 0.056561), P6 (0.067888; -0.075904; 0.028091), P8 (0.073056; -0.073068; -0.002540), PO7 (-0.054840; -0.097528; 0.002792), PO5 (-0.048424; -0.099341; 0.021599), PO3 (-0.036511; -0.100853; 0.037167), POZ (0.000216; -0.102178; 0.050608), PO4 (0.036782; -0.100849; 0.036397), PO6 (0.049820; -0.099446; 0.021727), PO8 (0.055667; -0.097625; 0.002730), O1 (-0.029413; -0.112449; 0.008839), OZ (0.000108; -0.114892; 0.014657), O2 (0.029843; -0.112156; 0.008800)",250.0,4.0,à vérifier,à vérifier,à adapter,"Le checkpoint attend 62 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",55.5,moyenne,https://huggingface.co/braindecode/eegpt-pretrained,bsd-3-clause,.
109,eeg-telecom-paris/cbramod-base-official,oui,19,fixes,"FP1, FP2, F3, F4, C3, C4, P3, P4, O1, O2, F7, F8, T3, T4, T5, T6, FZ, CZ, PZ",200.0,4.0,à vérifier,à vérifier,à adapter,"Le checkpoint attend 19 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",51.78,moyenne,https://huggingface.co/eeg-telecom-paris/cbramod-base-official,,.
3,braindecode/eegdino-medium-pretrained,oui,19,fixes,à vérifier,200.0,5.0,"Temple University Hospital EEG Corpus (TUEG), 19 common 10-20 channels resampled to 200 Hz (>9000 hours), following CBraMod's preprocessing. Pretrained by hierarchical self-distillation. | (where available) or resample channels with MNE before fine-tuning. | Sampling rate matters.** Resample your data to 200 Hz before",à vérifier,à adapter,"Le checkpoint attend 19 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",51.75,moyenne,https://huggingface.co/braindecode/eegdino-medium-pretrained,bsd-3-clause,.
2,braindecode/eegdino-small-pretrained,oui,19,fixes,à vérifier,200.0,5.0,"Temple University Hospital EEG Corpus (TUEG), 19 common 10-20 channels resampled to 200 Hz (>9000 hours), following CBraMod's preprocessing. Pretrained by hierarchical self-distillation. | (where available) or resample channels with MNE before fine-tuning. | Sampling rate matters.** Resample your data to 200 Hz before",à vérifier,à adapter,"Le checkpoint attend 19 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",51.75,moyenne,https://huggingface.co/braindecode/eegdino-small-pretrained,bsd-3-clause,.
105,eeg-telecom-paris/labram-base-official,oui,22,fixes,"Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, Pz, P2, POz",200.0,4.0,à vérifier,à vérifier,à adapter,"Le checkpoint attend 22 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",49.72,moyenne,https://huggingface.co/eeg-telecom-paris/labram-base-official,,.
32,Kkuntal990/test-eegnet-braindecode,oui,22,fixes,à vérifier,250.0,4.0,à vérifier,à vérifier,à adapter,"Le checkpoint attend 22 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",45.5,moyenne,https://huggingface.co/Kkuntal990/test-eegnet-braindecode,,.
48,braindecode/signal-jepa_without-chans,oui,62,fixes,à vérifier,128.0,2.0,à vérifier,Lee2019,à adapter,"Le checkpoint attend 62 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",45.5,moyenne,https://huggingface.co/braindecode/signal-jepa_without-chans,mit,.
103,braindecode/labram-pretrained,oui,128,fixes,"FP1, FPZ, FP2, AF9, AF7, AF5, AF3, AF1, AFZ, AF2, AF4, AF6, AF8, AF10, F9, F7, F5, F3, F1, FZ, F2, F4, F6, F8, F10, FT9, FT7, FC5, FC3, FC1, FCZ, FC2, FC4, FC6, FT8, FT10, T9, T7, C5, C3, C1, CZ, C2, C4, C6, T8, T10, TP9, TP7, CP5, CP3, CP1, CPZ, CP2, CP4, CP6, TP8, TP10, P9, P7, P5, P3, P1, PZ, P2, P4, P6, P8, P10, PO9, PO7, PO5, PO3, PO1, POZ, PO2, PO4, PO6, PO8, PO10, O1, OZ, O2, O9, CB1, CB2, IZ, O10, T3, T5, T4, T6, M1, M2, A1, A2, CFC1, CFC2, CFC3, CFC4, CFC5, CFC6, CFC7, CFC8, CCP1, CCP2, CCP3, CCP4, CCP5, CCP6, CCP7, CCP8, T1, T2, FTT9h, TTP7h, TPP9h, FTT10h, TPP8h, TPP10h, FP1-F7, F7-T7, T7-P7, P7-O1, FP2-F8, F8-T8, T8-P8, P8-O2",à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 128 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",40.0,moyenne,https://huggingface.co/braindecode/labram-pretrained,bsd-3-clause,.
